Linux 6.8.0-52-generic (SnowBrain) 	07.03.2025 	_x86_64_	(4 CPU)

14.39.18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14.41.24     all   28,46    0,00   12,05    1,03    0,00    0,00    0,00    0,00    0,00   58,46
14.41.25     all   26,92    0,00    8,97    1,28    0,00    0,51    0,00    0,00    0,00   62,31
14.41.26     all   30,26    0,00   13,33    0,26    0,00    0,77    0,00    0,00    0,00   55,38
14.41.27     all   29,59    0,00    8,42    1,02    0,00    0,26    0,00    0,00    0,00   60,71
14.41.28     all   44,33    0,00   14,69    0,26    0,00    0,26    0,00    0,00    0,00   40,46
14.41.29     all   40,66    0,00   13,81    0,77    0,00    0,26    0,00    0,00    0,00   44,50
14.41.30     all   25,39    0,00    7,77    0,52    0,00    0,00    0,00    0,00    0,00   66,32
14.41.31     all   25,26    0,00   10,57    1,03    0,00    0,26    0,00    0,00    0,00   62,89
14.41.32     all   27,30    0,00    8,67    0,51    0,00    0,51    0,00    0,00    0,00   63,01
14.41.33     all   27,32    0,00   11,08    1,29    0,00    0,26    0,00    0,00    0,00   60,05
14.41.34     all   22,82    0,00    6,41    0,77    0,00    0,77    0,00    0,00    0,00   69,23
14.41.35     all   28,32    0,00   11,22    0,26    0,00    0,26    0,00    0,00    0,00   59,95
14.41.36     all   23,27    0,00    7,42    0,77    0,00    0,26    0,00    0,00    0,00   68,29
14.41.37     all   26,92    0,00   13,85    0,51    0,00    0,26    0,00    0,00    0,00   58,46
14.41.38     all   85,18    0,00    8,54    0,50    0,00    0,25    0,00    0,00    0,00    5,53
14.41.39     all   26,74    0,00    7,20    0,77    0,00    0,26    0,00    0,00    0,00   65,04
14.41.40     all   30,18    0,00   13,30    1,02    0,00    0,00    0,00    0,00    0,00   55,50
14.41.41     all   22,37    0,00    6,94    1,03    0,00    0,51    0,00    0,00    0,00   69,15
14.41.42     all   24,35    0,00   10,36    1,30    0,00    0,00    0,00    0,00    0,00   63,99
14.41.43     all   25,32    0,00    7,75    0,78    0,00    0,26    0,00    0,00    0,00   65,89
14.41.44     all   25,71    0,00   10,80    0,51    0,00    0,26    0,00    0,00    0,00   62,72
14.41.45     all   21,08    0,00    7,20    0,77    0,00    0,26    0,00    0,00    0,00   70,69
14.41.46     all   25,32    0,00   11,76    1,28    0,00    0,26    0,00    0,00    0,00   61,38
14.41.47     all   23,85    0,00    7,44    1,03    0,00    0,26    0,00    0,00    0,00   67,44
14.41.48     all   21,57    0,00    7,11    1,52    0,00    0,51    0,00    0,00    0,00   69,29
14.41.49     all   33,33    0,00   11,28    0,51    0,00    0,26    0,00    0,00    0,00   54,62
14.41.50     all   22,82    0,00    6,67    1,03    0,00    0,77    0,00    0,00    0,00   68,72
14.41.51     all   24,61    0,00   10,88    0,52    0,00    0,00    0,00    0,00    0,00   63,99
14.41.52     all   21,94    0,00    6,38    1,53    0,00    0,26    0,00    0,00    0,00   69,90
14.41.53     all   25,52    0,00   12,37    0,26    0,00    0,00    0,00    0,00    0,00   61,86
14.41.54     all   24,62    0,00    7,95    0,77    0,00    0,26    0,00    0,00    0,00   66,41
14.41.55     all   24,94    0,00   10,28    1,03    0,00    0,51    0,00    0,00    0,00   63,24
14.41.56     all   22,34    0,00    6,85    1,27    0,00    0,51    0,00    0,00    0,00   69,04
14.41.57     all   24,10    0,00   10,51    1,54    0,00    0,26    0,00    0,00    0,00   63,59
14.41.58     all   24,81    0,00    7,75    0,52    0,00    0,00    0,00    0,00    0,00   66,93
14.41.59     all   23,60    0,00    7,87    1,27    0,00    0,25    0,00    0,00    0,00   67,01
14.42.00     all   79,24    0,00   16,46    0,25    0,00    0,25    0,00    0,00    0,00    3,80
14.42.01     all   58,94    0,00    8,56    0,50    0,00    0,25    0,00    0,00    0,00   31,74
14.42.02     all   47,16    0,00   17,78    0,26    0,00    0,77    0,00    0,00    0,00   34,02
14.42.03     all   20,20    0,00    6,65    1,02    0,00    0,51    0,00    0,00    0,00   71,61
14.42.04     all   27,69    0,00   12,05    0,77    0,00    0,26    0,00    0,00    0,00   59,23
14.42.05     all   41,60    0,00   17,31    0,78    0,00    0,26    0,00    0,00    0,00   40,05
14.42.06     all   21,23    0,00    9,21    1,02    0,00    0,26    0,00    0,00    0,00   68,29
14.42.07     all   28,50    0,00    9,67    1,02    0,00    0,51    0,00    0,00    0,00   60,31
14.42.08     all   24,42    0,00    7,46    1,03    0,00    0,26    0,00    0,00    0,00   66,84
14.42.09     all   26,92    0,00   12,56    0,51    0,00    0,00    0,00    0,00    0,00   60,00
14.42.10     all   25,96    0,00    7,46    1,03    0,00    0,26    0,00    0,00    0,00   65,30
14.42.11     all   26,61    0,00   11,11    1,03    0,00    0,26    0,00    0,00    0,00   60,98
14.42.12     all   22,51    0,00    6,91    0,77    0,00    0,51    0,00    0,00    0,00   69,31
14.42.13     all   24,94    0,00   10,54    0,51    0,00    0,00    0,00    0,00    0,00   64,01
14.42.14     all   25,13    0,00    6,92    1,28    0,00    0,26    0,00    0,00    0,00   66,41
14.42.15     all   24,16    0,00   12,85    0,26    0,00    0,00    0,00    0,00    0,00   62,72
14.42.16     all   24,48    0,00    7,22    1,29    0,00    0,26    0,00    0,00    0,00   66,75
14.42.17     all   26,99    0,00    8,23    0,51    0,00    0,77    0,00    0,00    0,00   63,50
14.42.18     all   32,74    0,00   13,45    1,02    0,00    0,25    0,00    0,00    0,00   52,54
14.42.19     all   24,30    0,00    7,93    1,28    0,00    0,26    0,00    0,00    0,00   66,24
14.42.20     all   25,52    0,00   10,31    1,03    0,00    0,26    0,00    0,00    0,00   62,89
